"Classe";"Texto"
"Contras";"cheiro ruim depois que desliga o ar, seta imprecisa, buzina imprecisa, suspensão barulhenta e pouco durável, bancos desconfortáveis cujo assento cede precocemente, posição das teclas dos vidros, visibilidade traseira, câmbio de manuseio cansativo e como um todo é pouco manobrável, requer disposição do condutor, por isso o tenho como contra indicado para iniciantes na direção."
"Contras";"peças um pouco mais caras, revenda, o povo brasileiro ainda é um povo ultrapassado em relação a esse tipo de coisa, motor 1.0 com 16v muito fraco,ainda mais em cidade, tem q esperar esquentar bem o carro, pq o carro fica travando nas primeiras marchas e ameaça morrer."
"Contras";"Ruídos internos excessivos, a suspensão faz um ruído quando molhada e exigida, passando em um quebra molas, por exemplo. É um barulho tipo uma dobradiça mal lubrificada."
"Contras";"Muito barulhento, pelo que me falaram o consumo era baixo, não achei, por malas minusculo, o carro bate tudo, os vidros o porta mala, tenho maisgos que tem o 307 e apresenta o mesmo barulho"
"Contras";"nada a declarar."
"Contras";"Os conhecidos grilos do 206 nada demais ja tive gol e ja andei nos demais carros comparados a ele e todos tem barulho embora pelos comentarios aqui muita gente adora apedrejar o 206..."
"Contras";"Barulhento, muitos defeitos"
"Contras";"suspensao dianteira muito dura"
"Contras";"Rigidez que provoca alguns ruídos na carroceria, em especial na coluna esquerda da porta dianteira. Pequeno espaço do porta-malas."
"Contras";"Muito barulhento. O motor ronca muito e tem muitos ruídos internos. A cada dia um novo barulho aparece.Manutenção cara; Seguro caro;Espaço no banco de trás é péssimo. Quase não dá pra entrar se os bancos da frente não forem colocados mais pra frente. O banco do motorista não tem ajuste que te deixe confortável. A visibilidade fica prejudicada. O carro fazia 14,5 km (gas) na cidade e passou a fazer 12 km. Ainda não descobri o que é.Suspensão duríssima e pra terminar, o motor sempre dá umas falhadas. Não sei mais o que fazer, já troquei filtro de óleo, ar, combustível. Jogo de velas e limpeza de bicos..."
"Contras";"na cidade o 206 é uma porcaria, vamos ser sincero...oooww carrinho barulhento do kct...se vc colocar qualquer autofalante q seja o menor peso, ele faz barulho atraz gente..chega ser incrivel como esse carro faz barulho...sem contar q aquele modo de usar o banco dianteiro já dei bastante caxeta nos outros...pq vcs podem ver q a velocidade q o banco vem pra frente é ignorante..o porta mala foi realmente feito para o estilo de pessoas q vai somente ao clube de final de semana...pq se vc for viajar com sua namorada e amigos...vc ta na merda, o porta mala é bem pequeno..se vc estiver uma caixa de som atraz,pronto...matou o porta malas!!rs"
"Contras";"duas portas"
"Contras";"Carro extremamente barulhento, mesmo com menos de 2.500 km (isso que é o modelo de luxo).O potente motor 1.4 que já é fraco por natureza, quando ligamos o ar condicionado o carro só falta morrer, chega a ser ridiculo o desempenho.Assistencia tecnica e mão de obra caríssimas, e de 5º categoria.Não comprem peugeot, na hora de vender todos são atenciosos, mas nunca... reze para nunca precisar de assistencia técnica (meio dificil)."
"Contras";"A suspensão é realmente um problema, ainda mais nessas ruas podres do Brasil, nada que uma manutenção preventiva e barata de troca de buchas não resolva!"
"Contras";"espaço interno para passageiros traseiro muito apertado (versão esportiva 2 portas igual o meu)sistema de suspensão frágil para nossas ruas esburacadasretrovisor pequenorelação de marchas muito longas"
"Contras";"O Cambio nao possui engates suaves, mas acostuma-se rapidamente. Suspensao privilegia a esportividade, logo torna-se um carro ``duro`` em ruas esburacadas."
"Contras";"SEGURO CARO, SEM ASSINTENCIA TECNICA E CARA, RUIDOS, BEBAO"
"Contras";"- Porta Malas Pequeno- Barulho Interno (Após uma visita em uma especializada Peugeot, conseguiram tirar)- Suspensao Dura para SP"
"Contras";"O atendimento no momento da venda é pior impossível. Fui mal atendida e mesmo tendo pago o carro à vista, ouve a maior enrolação no momento da entrega. Fiquei horas sentada esperando."
"Contras";"A concessionária fez pouco caso na entrega do veículo."
"Contras";"Acho que apesar de ele ser um carro esportivo, pelo menos tem um designer nesse estilo, poderia ter um porta malas maior, mas como minha familia é pequena tudo bem, porém algo que detesto é a roda ficar embaixo, tentam furtar por isso é ruim, tem que se colocar correntes na trava que prende o pneu,colocar cadeados ou ainda o pneu dentro do porta mala que já é pequeno, ai fica meio ruim.O ar, o computador de bordo(tão chique né para 1.0) é 10..adoro até a pequena siorene que toca quando esqueço de desligar as luzes...esse carro é chique!!! adoro ele, por isso quando vou trocá-lo por um peugeot mais novo, mas não o largo!!"
"Contras";"peças caríssimas"
"Contras";"O banco do motorista é muito mal projetado. Não permite um encosto parelho das costas e causa dores em viagens. O motor engasga em acelerações rápidas e morre as vezes ao engatar a primeira marcha."
"Contras";"Ruídos internos altos, porta malas muito pequeno, acionador dos vidros elétricos no console central tando dianteiros quanto traseiros."
"Contras";"Suspensão muuuito fraca: Nas 3 revisões que fiz, deu problema de vazamento de óleo no amortecedor e tive que trocar. foi caroBuzina dura.Marcha Ré as vezes é difícil de entrar sem barulho.Problema no medidor de combustível."
"Contras";"- O seguro é um pouco caro mesmo (pago em torno de R$ 1500,00);- Ruídos internos (e não são poucos) no porta-malas, portas, etc.- Suspensão dura;- A manutenção não posso opinar pq ainda não precisei fazer nada além do normal;- No caso do meu carro (modelo 3 portas) o acesso ao banco traseiro é difícil, e o espaço do mesmo é insatisfatório."
"Contras";"Como todo carro que anda nas estradas e ruas do brasil com o 206 não podia ser diferente o carro sofre bastante com os buracos e crateras de nossas ruas. Os grilos são comuns e o acabamento das portas poderia ser melhor com certeza. Outro ponto negativo do carro é o consumo que pelo menos até onde pude perceber não chega nem perto do divulgado pela montadora, o carro abastecido no alcool não faz mais do que 6,5 km/l andando na cidade com o ar ligado e na estrada não passa de 7,5 apesar de andar sempre com o pé pesado. No meu caso o carro faz 5,7 na cidade e 6,5 na estrada, bebe mesmo. O espaço interno é outro ponto a ser pensado, caso você vá ultilizar mais do que 2 lugares do carro com frequência é aconselhavel estudar outras marcas. Quatro adultos já viajam com algum desconforto mas se você pretende usar o carro com 2 adultos e no maximo 1 criança o carro é muito confortavel. O porta malas não é grande mas para o que o carro se propoe cumpre bem o seu papel."
"Contras";"O 206 tem a frente muito baixa que sofre nas nossas ruas brasileiras pessimamente projetadas. Não é comum acharmos usados sem riscos na parte inferior dos pára-choques. Modelos semi-novos com direção hidráulica costumam apresentar barulhos em manobras de estacionamento e um ligeiro vazamento do fluído de direção, fique atento! Os preços das peças é alto e ainda não são encontradas no mercado de peças paralelas. Esse é um dos motivos para o preço do seguro absurdo. O Excesso de partes plásticas no interior do carro faz com que (grilos) apareçam por toda parte. A solução que eu encontrei? Um bom sistema de som ajuda! A suspensão é um pouco dura e nos faz sentir toda a irregularidade das nossas ruas e estradas esburacadas. Não se iluda com o fato do carro ter sido campeão mundial de Rali várias vezes, aquele era um outro 206 totalmente modificado. O nosso modelo é baixo demais e pode ser facilmente danificado em vias sem pavimentação."
"Contras";"O Cambio trepida um pouco em segunda marcha, mas nada que assuste. As luzes de freio demoram um pouco para se acenderem ao pisar no freio levemente."
"Contras";"Barulhos internos com o passar dos anos. Problemas eletricos com painel de instrumentos e chave de seta. Buzina dura. Suspensão delicada, quebra mto. Cambio enrosca a ré. Ar Condicionado barulhento."
"Contras";"O negativo é a desvalorização. Eu fiz o certo, comprei o meu por um valor bem abaixo da tabela FIPE."
"Contras";"suspensão é muito fraca, em uma rua que tenha ondulações ele faz mais barulho que a sapucai no dia de carnaval, as peças tambem são caras e a parte eletrica da muito problema."
"Contras";"Tive que fazer revisão tão logo comprado. já tinha 52.000km rodados"
"Contras";"Sua suspensão parece ser feita de papelão. Em 03 anos de uso, devo ter trocado bandejas e bieletas umas 3 ou 4 vezes. A parte elétrica é horrível: Só existem 2 tipos de 206: Os que já deram trabalho com a parte elétrica Marcador de combustível, sensor de portas-abertas, sensor de rotação, comandos de luzes, buzinas e etc e aqueles que ainda vão ter."
"Contras";"Suspensão traseira, o eixo é a doença da série de torção. A suspensão dianteira, a bandeja em formato bumerangue parte fácil o embuchamento e bate ferro-ferro."
"Contras";"quese nada"
"Contras";"suspensão e potencia na versão 1.0 16v"
"Contras";"PEÇAS CARAS .......E PARTE ELETRICA MUITO COMPLICADA DE MEXER..."
"Contras";"Barulho do escapamento parece que ta solto.. Manutenção preventiva muito cara... R$600,00 pra eles verem uma meia duzia de itens, trocar oleo, velas, oleo de freio...."
"Contras";"não se dá muito bem em buracos"
"Contras";"pouco conforto para viajar, carro com pouca estabilidade e porta mala pequeno, carro pessimo para familia"
"Contras";"O MOTOR NÃO VALE NADA!!!"
"Contras";"Ruidos excessivos no porta malas e o estepe, que fica embaixo do veiculo e acaba facilitando o furto."
"Contras";"Ruido do porta malas, suspensão já quebrou duas vezes, 4000 Reais cada vez. Barulho no limpador, nao adianta trocar por novo. Parabrisa embaça fácil. Custo altíssimo de manutenção. Tem erro de projeto na suspensão, com rolamentos sobre o eixo. Nunca se troca só o rolamento, precisa trocar o eixo todo."
"Contras";"o eletricista da concessionária condenou toda a parte elétrica do meu carro onde ficou avaliado peças e mão de obra mais de 10 mil reais. Suspensão totalmente despreparada para as ruas e vias do brasil. Preciso falar mais????"
"Contras";"vário ruídos internos, porta mala não cabe nada, step embaixo do carro é uma porcaria, quando a versão do veículo não tem direção hidráulica, é muito ruim. Quando se tem algum problema na parte elétrica ou eletrônica é difícil localizar o problema ocasionando assim trocas de peças que nem seria necessária, gastando assim um NOTA!!!! È certo de a buzina falhar com pouco tempo de uso. Suspensão de baixa qualidade."
"Contras";"suspensao um pouco fragil, desvalorização na revenda"
"Contras";"ele desligava sozinho, normalmente quando o ar condicionado estava ligado, tinha levado em algumas mecanicas ninguem sabia o que era, depois que vendi fui descobrir que as concessionarias trocam um chicote sem cobrar nada."
